id name province latitude longitude
13637 13637 GR 10.896322 42.844906
13677 13677 GR 10.882159 42.76409
12980 12980 GR 10.758826 42.922382
13734 13734 GR 10.759563 42.921528
41 41 GR 10.754704 42.921986
13021 13021 GR 10.746193 42.92673
14737 14737 LU 10.240403 43.882755
5416 5416 SI 11.326944 43.325787
15460 15460 LU 10.5082 43.84807
4455 4455 MS 10.02961 44.04041
14695 14695 LU 10.49925 43.84306
14386 14386 LU 10.219237 43.902187
14469 14469 LU 10.275556 43.9075
14220 14220 LU 10.220939 43.96854
11353 11353 PI 10.399467 43.71784
2119 2119 FI 11.252889 43.769783
10 10 FI 11.25278 43.77494
2138 2138 FI 11.252897 43.77473
1802 1802 FI 11.18819 43.581234
1821 1821 FI 11.14805 43.51413
1962 1962 FI 11.178928 43.6339
4036 4036 SI 11.042026 43.46932
6795 6795 FI 11.230666 43.791733
5287 5287 SI 11.031517 43.357906
1549 1549 FI 11.160348147569444 43.51484321180556
2463 2463 FI 11.240583 43.770466
3742 3742 SI 11.328343 43.324184
4867 4867 SI 11.328603 43.32425
6604 6604 FI 11.239698 43.770336
1881 1881 FI 11.264716 43.762062
10499 10499 LI 10.538382 43.176506
10677 10677 LI 10.538258 43.177696
